% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
3 +9.821776657e+05 +9.821776657e+05 +9.827897657e+05 +9.827897657e+05 -5.3556e-01 -1.2063e-01 -1.3595e+00 -1.8040e+00 +3.2249e+00 -4.5715e+00 -3.4803e+00 +2.3201e-01 -8.7097e-01 +6.0886e-01 +3.9311e+00 +4.4549e+00 -7.0026e-01 -2.2773e+00 -3.8898e+00 +4.2157e-01 -3.4109e+00 +1.9893e+00 +2.1380e+00 +4.1962e+00
7 +5.581639428e+05 +5.581639428e+05 +5.587760428e+05 +5.587760428e+05 -4.4676e-01 -3.7737e+00 -2.4179e+00 +1.1720e-01 -4.2464e+00 +1.2560e+00 +3.4005e+00 +4.6598e+00 +1.4222e+00 -1.5715e+00 +4.9097e+00 +3.6737e+00 +2.9054e+00 +2.2372e+00 -3.1958e+00 -2.4031e+00 +3.7536e+00 +2.4273e+00 -4.0832e+00 -1.1501e-01
21 +2.990576629e+05 +2.990576629e+05 +2.996697629e+05 +2.996697629e+05 +1.6196e+00 +1.7095e-01 +4.5186e+00 -4.2645e+00 +2.2622e+00 -1.8114e+00 +4.3130e+00 -3.4772e+00 +1.2265e+00 -5.3989e-01 +1.0953e-01 +3.3120e+00 -5.5628e-01 -4.1712e+00 +2.6450e+00 +1.4606e+00 -3.0482e+00 +2.4913e+00 +8.7430e-01 -4.3811e+00
77 +2.236034434e+05 +2.236034434e+05 +2.242155434e+05 +2.242155434e+05 +4.1165e-01 -1.8368e+00 -9.5944e-01 -3.5608e+00 +6.2943e-01 -1.1451e+00 -2.4999e+00 -2.9696e+00 -3.6843e+00 -1.7526e+00 +2.8357e+00 +2.8993e+00 +1.1960e+00 +4.2691e-01 -1.8396e+00 -4.4725e+00 +2.1821e-01 +2.2544e+00 +2.6469e+00 -1.8992e-01
% function evaluation | noise-free fitness - Fopt (-4.657200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.213900068e+06 +1.213900068e+06 +1.213434348e+06 +1.213434348e+06 +9.3201e-01 -1.6762e+00 -2.6042e+00 +4.4666e+00 +4.6628e+00 -4.9635e+00 +1.6643e-01 -4.3521e-01 -2.8606e+00 -3.2036e+00 -3.9471e+00 -8.1887e-01 -8.6953e-01 -1.6620e+00 -1.5157e+00 -1.5505e+00 -2.9672e+00 +8.4033e-01 -4.3202e+00 +2.8822e+00
3 +6.054251024e+05 +6.054251024e+05 +6.049593824e+05 +6.049593824e+05 +3.8367e+00 +6.3087e-01 -2.3464e-01 +3.0716e+00 +4.6974e+00 +2.9897e+00 +1.8146e+00 -4.7417e+00 -6.2986e-01 -1.5474e+00 +1.6899e-01 +3.9997e+00 -1.0954e+00 +4.2691e+00 -4.2049e+00 -2.4793e+00 -1.0304e+00 -2.5346e-01 +2.3409e-01 -3.0092e+00
50 +2.971586016e+05 +2.971586016e+05 +2.966928816e+05 +2.966928816e+05 -2.2342e+00 +4.3122e+00 +4.3264e+00 +5.9085e-02 +4.8657e+00 -2.6984e-02 +4.4098e+00 -4.5959e+00 +2.9955e-01 +3.0080e+00 -4.8619e+00 -1.7687e+00 +4.4045e+00 -4.1852e+00 +3.2341e+00 +1.7517e+00 +2.4133e+00 -1.3122e+00 +4.3682e+00 +3.4070e-01
% function evaluation | noise-free fitness - Fopt (1.306000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.370774773e+05 +6.370774773e+05 +6.370905373e+05 +6.370905373e+05 +2.9230e-01 +5.7685e-01 +4.0036e-01 +2.1026e+00 -1.7731e+00 +1.4425e+00 -1.2383e+00 -3.2458e+00 +4.1205e+00 -1.0968e-02 -1.8031e+00 -1.7087e-01 -1.4269e+00 +5.3245e-02 -3.0817e+00 -3.5991e+00 -2.5339e+00 -4.0838e-01 -3.7864e-01 +3.8160e+00
15 +5.952289026e+05 +5.952289026e+05 +5.952419626e+05 +5.952419626e+05 -3.1685e+00 -4.8944e-02 +2.8381e-01 -9.2696e-02 -4.2585e-01 +2.7905e+00 -1.3845e+00 +2.4709e+00 -3.7603e+00 -4.6077e+00 +3.7320e+00 -5.5135e-01 +2.9666e+00 -3.1498e+00 -3.5200e+00 +3.7885e+00 +9.4421e-01 +9.0380e-01 +4.9447e+00 -3.9501e+00
38 +3.549924529e+05 +3.549924529e+05 +3.550055129e+05 +3.550055129e+05 -1.6678e+00 -2.7489e+00 +2.9049e+00 +3.2467e+00 -2.0790e+00 +2.4094e+00 -1.2641e+00 -1.9694e+00 +2.9731e+00 -3.5769e+00 +4.6151e+00 -1.1858e+00 +4.3558e+00 -2.3503e+00 +6.3592e-01 +1.8043e+00 -4.3397e+00 -3.6267e+00 +1.1650e+00 -3.0956e+00
% function evaluation | noise-free fitness - Fopt (2.655000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.536818070e+06 +1.536818070e+06 +1.536844620e+06 +1.536844620e+06 -2.9351e+00 +4.2438e+00 -1.0879e+00 -1.0148e+00 +2.8256e-01 +1.2812e+00 -2.7373e-01 +2.4088e+00 -2.2063e+00 -2.7923e+00 -9.2202e-01 -2.0485e+00 -2.2746e+00 +2.9090e+00 -3.8089e+00 +4.9625e+00 -1.2068e+00 +4.5773e-01 -4.3156e-01 +1.8906e+00
14 +5.802416411e+05 +5.802416411e+05 +5.802681911e+05 +5.802681911e+05 -6.4896e-01 -2.6455e+00 +4.7907e+00 +3.9594e+00 +1.7685e+00 +1.0589e-01 -3.1884e+00 -7.3954e-01 +8.6148e-01 -7.6070e-01 -1.7753e-01 +2.7972e+00 -4.0334e+00 +1.3171e+00 -1.4836e+00 -2.4704e-01 -2.4750e-01 -8.9624e-01 +1.1873e-02 -1.5647e+00
34 +3.079472572e+05 +3.079472572e+05 +3.079738072e+05 +3.079738072e+05 +1.2483e+00 -2.1415e+00 +3.3255e+00 -1.9311e+00 +3.4386e+00 +4.8290e+00 +1.1940e+00 -3.5351e+00 -2.3512e+00 +3.8379e+00 +3.4868e+00 +1.3411e-01 +1.6140e-01 -1.4794e+00 -4.2806e+00 -7.4641e-01 -4.9652e+00 +4.1397e+00 +2.7144e+00 -1.4022e+00
